**书,本书,#我们要五本书，可是只有三本。书上没说他是在哪里出生的,shū,book ,,
特别,,,,,,
注意,,,,,,
球,,,,,,
查,,,,,,
忘,,,,,,
甚至,,,,,,
保护,,,,,,
$真正,,,zhēnzhèng,"(proper, right); true/real/actual",,
结果,,,,,,
表现,,,,,,
拍,,,,,,
其实,,,,,,
*小心,,,xiǎoxīn,"(small, heart/mind); take care",,
进来,,,,,,
路,,过马路,lù,road,,
呆,,,,,,
四,,,sì,four,,
久,,,,,,
当时,,,,,,
或,,,,,,
$懂,,听得懂。看不懂,dǒng,understand ,,
怎么办 ,,下一步怎么办?,zěnmebàn,"(how, interrogative, do); what to be done",,
第,,,,,,
*马,"马路, 马上",,mǎ,horse,"road/highway, immediately ",
讲,,,,,,
绝对,,,,,,
长官,,,,,,
*员,学员,程序chen2xu4员,yuán,member ,student ,programmer
进去,,,,,,
至少,,,,,,
律师,,,,,,
喔,,,,,,
整个,,,,,,
听到,,,tīngdào,"(hear/arrive, until); to hear",,
表演,,,,,,
$正在,,我们到时，他们正在关门,zhèngzài,"(right, be); right at",,
无,,,,,,
已,"不得已, 不已","实在不得已, 我只好有一的房子。说说而已",yǐ,"already, stop ","no alternative, non stop",
笑,"笑意, 可笑",谁笑在最后，谁笑得最美,xiào,"smile, laugh",,
选,,,,,,
感到,,,,,,
那边,,,,,,
*远 ,,远大的理想 l。有很远,yuǎn,"distant, ",,"ambitious, years ago"
*儿,"儿子, 一会儿, 一下儿",,ér,"son, ","diminutive, one moment, x",
故事,,,,,,
疯,,,,,,
换,,,,,,
结婚,,,,,,
猜,,,,,,
咱们,,,,,,
床,,,,,,
处理,,,,,,
妻子,,,,,,
进行,,,,,,
*内 ,以内,在三天以内,nèi,Inside ,within/less than,
是否,,,,,,
段,,,,,,
令,,,,,,
刚刚,,,,,,
案子,,,,,,
行动,,,,,,
第二,,,,,,
努力,,,,,,
害怕,,,,,,
酒,,,,,,
发,,,,,,
调查,,,,,,
失去,,,,,,
歌,,,,,,
成功,,,,,,
唱,,,,,,
考虑,,,,,,
刚才,,,,,,
约会,,,,,,
节目,,,,,,
通过,,,,,,
$之间,,,zhījiān,"(it, between); between ",,
*别的 ,,我 别的 不要 ,biéde,"(another, possessive); else/other",,
学, 学家,,xué ,learn,,
开心,,#他在法国是不是很开心？,kāixīn,"(open, hard); to rejoice",,
母亲,,,,,,
辆,,,,,,
主意,,,,,,
探,,,,,,
丈夫,,,,,,
待,,,,,,
变成,,,,,,
倒,,,,,,
离,,,,,,
解释,,,,,,
往,,,,,,
万,,,,,,
联系,,,,,,
派,,,,,,
关 ,海关,#他关上门,guān ,close,,
证明,,,,,,
$句,,他这个人没有一句真话,jù, sentence/frase,,
五,,,wǔ,five,,
生命,,,,,,
有点,,,yǒudiǎn,"(have, dot); a little",,
靠,,,,,,
解决,,,,,,
办公室,,,,,,
$难道,,,nándào,"(unable, way); no way!/really!",,
作为,,,,,,
奇怪,,,,,,
生 ,"生日, 生手, 学生 ",,shēng ,"life, to be born ","birthday, newbie, student  ",
由,,,,,,
$男,,,nán,man,,
极了,,,,,,
同意,,,,,,
如,,#事到如今,rú ,"such as, supposing / not as good as",,
游戏,,,,,,
帮忙,,,,,,
指,,,,,,
危险,,,,,,
讨厌,,,,,,
曾经,,,,,,
眼睛,,,,,,
*外面 ,外人,她跟了一个外国人,wàimiàn,"(outside, face); outside",,
处,,,,,,
国家,,国家大事,guójiā,"(nation, home); country, state",,
看上去,,,kànshàngqù,"(look, up, go); it seems",,
总统,,,,,,
间 ,"房间, 中间, 时间",#中间管理人。现在的时间是十四点五分,jiān,space ,,
伤害,,,,,,
控制,,,,,,
最近,, 她最近就要出国,zuìjìn,"(most, near); closer/recent/soon",,
声音,,,,,,
糟,,,,,,
快乐,,,,,,
偷,,,,,,
首,,,,,,
可爱,,,kě'ài,"(able, love); cute",,
进入,,,,,,
能够,,,,,,
*事实上,,,shìshíshàng,"(business, true, up); in fact",,
哈,,,,,,
醒,,,,,,
**分,"分外, 分内, 过分",这是我分内的事。过分自信。做得太过分,fèn,part,"beyond duty/specially, duty, excessive ",
完成,,,,,,
部,,#可爱面部,bù,"part, #piece",,
昨晚,,,,,,
同,,,,,,
医院,,,,,,
不行,,,,,,
半,,,,,,
**而已,,我只是听说而已,éryǐ,"(and, already); just, nothing else",,
上面,下面,,shàngmiàn,"(up, face); above",,
样子,,,yàngzi,"(shape, kid ); appearance, pattern",,
少,,,,,,
有趣,,,,,,
提,,,,,,
没关系,,,,,,
斯,,,,,,
杰克,,,,,,
*部分,,,bùfen,"(part, divide); part",,
要求,,,,,,
糟糕,,,,,,
除了,,,,,,
容易,,,,,,
保持,,,,,,
虽然,,,,,,
*办 ,办得到,我有点事得办。 只要办得到，我一定给你办,bàn,do ,doable,
教,,,,,,
想到,,我一下想到了你的生日是今天,xiǎngdào,"(think, arrive); think",,
理解,,,,,,
证据,,,,,,
加,,,,,,
脸,,,,,,
简单,,,,,,
不同,,,,,,
夫人,,,,,,
父母,,,,,,
重,,,,,,
恩,,,,,,
曾,,,,,,
$事实,,,shìshí,"(business, true); fact",,
飞机,,,fēijī,"(fly, machine); plane",,
家庭,,,,,,
装,,,,,,
秘密,,,,,,
法,"法国, 办法, 做法, 看法",,fǎ,law ,"france, method/recipe, method/recipe, opinion",
尸体,,,,,,
打开,,,,,,
季,,,,,,
检查,,,,,,
早上,,,,,,
$玩笑,,,wánxiào,"(play, joke); joke",,
任务,,,,,,
$现场,,,xiànchǎng,"(appear, place); scene/spot",,
使,,,,,,
转,,,,,,
博士,,,,,,
直到,,,,,,
紧张,,,,,,
二,,,èr,two,,
简直,,,,,,
放弃,,,,,,
小子,,,xiǎozi,"(small, child); kiddo",,
电视,,,,,,
强,,,,,,
*不好意思,,,bùhǎoyìsī,"(no, good, idea, consider); embarrass, sorry",,
大概,,,,,,
的确,,,,,,
特,,,,,,
药,,,,,,
回到,,,,,,
$男孩,,男孩子,nánhái,"(man, baby); boy",,boy
音乐,,,,,,
身体,,,,,,
血,,,,,,
留下,,,,,,
方式,,,,,,
伤,,,,,,
怪,,,,,,
美元,,,,,,
监狱,,,,,,
读,,,,,,
这边,,,,,,
重新,,,,,,
瞧,,,,,,
疯狂,,,,,,
收到,,,,,,
其中,,,,,,
片,,,,,,
想法 ,,有什么想法?,xiǎngfǎ,"(think, way); x/opinion",,
纽约,,,,,,
*家里,,, jiālǐ,"(home, place); home",,
黑,,,,,,
身,,,,,,
**还要,,#下一班火车还要过两个小时,háiyǎo,"(still,want); have to ",,
作,,,,,,
后面,,,hòumiàn,"(coming after, face); behind",,
性,,,,,,
带来,,,,,,
*昨天,,,zuótiān,"(past, sky); yesterday ",,
不好,,,bùhǎo,"(no, good); not good",,
抓住,,,,,,
记录,,,,,,
